"","p","q","sigma2","na.se","aic","LL","rss"
"1",0,0,0,0,0,0,0
"2",1,1,0.0747882712141144,0,1729.95883971298,-860.97941985649,525.836334906441
"3",1,1,0.0747882712141144,0,1729.95883971298,-860.97941985649,525.836334906441
"4",1,1,0.0747882712141144,0,1729.95883971298,-860.97941985649,525.836334906441
"5",1,2,0.0739366194998622,0,1651.50241685262,-820.751208426312,519.848371703529
"6",1,3,0.0739267242098139,0,1652.56270126652,-820.28135063326,519.778797919201
"7",1,4,0.0739169200910641,0,1653.62940733973,-819.814703669867,519.709865160271
"8",1,5,0.0739142869009116,0,1655.37815854209,-819.689079271046,519.691351200311
"9",1,6,0.0739047451353047,0,1656.47223537517,-819.236117687585,519.62426304633
"10",1,7,0.0739043000307267,0,1658.42999170792,-819.214995853962,519.62113351604
"11",1,8,0.0739616203654554,0,1665.86657964837,-821.933289824187,520.024152789518
"12",1,9,0.0739590308787061,9,1667.62140796799,-821.810703983997,520.005946108184
"13",1,10,0.0738574501610747,0,1659.97634306492,-816.98817153246,519.291732082517
"14",1,11,0.0737509035424516,0,1651.84088867679,-811.920444338394,518.542602806977
"15",1,12,0.0737165350747569,0,1650.56981906676,-810.284909533378,518.300958110615
"16",2,1,0.0740288907834518,0,1660.26382953848,-825.131914769238,520.497131098451
"17",2,2,0.0739280817714526,0,1652.6911756179,-820.345587808949,519.788342935085
"18",2,3,0.0739278822918277,0,1654.67259042332,-820.336295211659,519.786940393842
"19",2,4,0.0739161167863972,0,1655.55253538654,-819.776267693272,519.704217125161
"20",2,5,0.0739086304404022,0,1656.840916554,-819.420458277001,519.651580626466
"21",2,6,0.0739050144042958,0,1658.49826851849,-819.249134259247,519.626156276603
"22",2,7,0.073904221031104,0,1660.42243965312,-819.211219826561,519.620578069691
"23",2,8,0.0739040338902008,9,1662.4047487161,-819.202374358048,519.619262282002
"24",2,9,0.0738979040053975,0,1663.82118093488,-818.910590467439,519.57616306195
"25",2,10,0.0738533543334102,9,1661.58610142687,-816.793050713436,519.262934318207
"26",2,11,0.0736226787584042,4,1641.65586178199,-805.827930890994,517.641054350343
"27",2,12,0.0733846644538554,0,1622.42256275573,-795.211281377863,515.967575775058
"28",3,1,0.0739181311823761,0,1651.74482772504,-819.872413862518,519.718380343287
"29",3,2,0.0739175906730657,0,1653.69360644045,-819.846803220225,519.714580022326
"30",3,3,0.0739250126101838,6,1656.39947520543,-820.199737602715,519.766763662205
"31",3,4,0.0734846211405991,3,1622.70553126708,-802.35276563354,516.670371239552
"32",3,5,0.0732931694545788,8,1602.20274328693,-791.101371643465,515.324274435143
"33",3,6,0.0732316881444289,4,1599.59473002442,-788.79736501221,514.891999343479
"34",3,7,0.07345666586168,0,1626.21694551073,-801.108472755367,516.473817673472
"35",3,8,0.0734470584864379,0,1627.20321922325,-800.601609611626,516.406268218144
"36",3,9,0.0736958439895845,4,1648.5870872487,-810.293543624351,518.15547909077
"37",3,10,0.0730984858867376,0,1595.22837452251,-782.614187261256,513.955454269654
"38",3,11,0.0733828224362301,0,1622.833063916,-795.416531958002,515.954624549135
"39",3,12,0.073213949217594,1,1610.23496898256,-788.117484491279,514.767276948902
"40",4,1,0.0739172906431596,0,1653.66518957214,-819.832594786068,519.712470512056
"41",4,2,0.0739116390828125,0,1655.12810487969,-819.564052439847,519.672734391257
"42",4,3,0.0732653866704308,3,1599.19586285349,-790.597931426743,515.128933679803
"43",4,4,0.0739024386277199,3,1658.25240247099,-819.126201235494,519.608045991498
"44",4,5,0.0734811328380118,0,1626.4220480918,-802.2110240459,516.645844984061
"45",4,6,0.0736327649780191,1,1638.66677707121,-807.333388535607,517.711970560452
"46",4,7,0.0732165047658953,10,1602.03783805517,-788.018919027586,514.785245009009
"47",4,8,0.0732084351398456,8,1603.47208092543,-787.736040462717,514.728507468255
"48",4,9,0.0733936833103027,0,1626.26260030978,-798.131300154889,516.030987354739
"49",4,10,0.0733962348111698,0,1625.85452013179,-796.927260065894,516.048926957336
"50",4,11,0.0733466516667975,1,1624.06641922514,-795.033209612572,515.700307869254
"51",4,12,0.0733543436872205,0,1626.08382073157,-795.041910365783,515.754390464848
"52",5,1,0.0739085471857283,0,1654.83296995792,-819.416484978962,519.650995262856
"53",5,2,0.0739064190237899,0,1656.63104532567,-819.315522662834,519.63603215627
"54",5,3,0.0734119541176008,0,1618.38292409688,-799.191462048438,516.159449400853
"55",5,4,0.0735601642675041,0,1629.07336031491,-803.536680157457,517.201514964824
"56",5,5,0.0734272542756247,0,1623.38890865127,-799.694454325635,516.26702481192
"57",5,6,0.0734158850648108,7,1624.71368854447,-799.356844272233,516.187087890685
"58",5,7,0.073286277919412,3,1612.39967499871,-792.199837499354,515.275820051386
"59",5,8,0.0733839165988269,0,1625.71424975429,-797.857124877147,515.962317606353
"60",5,9,0.0733775592004358,0,1621.76277389999,-794.881386949993,515.917618738264
"61",5,10,0.0733786533605391,0,1625.05039427991,-795.525197139955,515.925311777951
"62",5,11,0.0733936273474988,2,1628.22111283256,-796.11055641628,516.030593880266
"63",5,12,0.0733469293814534,0,1626.59422956237,-794.297114781183,515.702260481001
"64",6,1,0.0739043944367346,0,1656.43886750937,-819.219433754687,519.621797284682
"65",6,2,0.07390480141488,0,1658.47767705691,-819.238838528455,519.624658748024
"66",6,3,0.0734032802632523,0,1619.60488707827,-798.802443539135,516.098463530928
"67",6,4,0.0734100169418632,0,1622.22545627933,-799.112728139663,516.145829118238
"68",6,5,0.0734263948483201,0,1625.67924145021,-799.839620725103,516.260982178535
"69",6,6,0.0734056104832295,0,1625.84902382671,-798.924511913355,516.114847307586
"70",6,7,0.0733905600397252,0,1626.40516596411,-798.202582982053,516.009027639311
"71",6,8,0.073581190950741,12,1639.84089062217,-803.920445311084,517.349353574659
"72",6,9,0.0733748578665142,8,1623.79811358737,-794.899056793684,515.898625659458
"73",6,10,0.0733609232966888,0,1625.21412756503,-794.607063782515,515.80065169902
"74",6,11,0.073166438027478,12,1609.4935387666,-785.746769383298,514.433225771197
"75",6,12,0.0732931575514343,1,1623.72150326184,-791.860751630919,515.324190744135
"76",7,1,0.0739043929384616,0,1658.43880292713,-819.219401463563,519.621786750323
"77",7,2,0.0739041364188633,6,1660.41442645876,-819.207213229381,519.619983161029
"78",7,3,0.0733775816962805,0,1619.13361674806,-797.56680837403,515.91777690655
"79",7,4,0.0733790809157137,2,1621.32398627884,-797.661993139419,515.928317918384
"80",7,5,0.0733989816316321,0,1625.17902600684,-798.589513003418,516.068239852006
"81",7,6,0.0731543065740941,2,1600.12598316815,-785.062991584075,514.347929522454
"82",7,7,0.0732613503745559,2,1615.6978629594,-791.848931479702,515.100554483502
"83",7,8,0.0729145039578621,0,1584.17029922082,-775.085149610409,512.661877327727
"84",7,9,0.073024897177231,15,1595.63729194011,-779.818645970053,513.438052053112
"85",7,10,0.0733525147530632,14,1626.48359927375,-794.241799636876,515.741531228786
"86",7,11,0.0729830335457893,10,1600.0559777008,-780.0279888504,513.143708860443
"87",7,12,0.0733035123200359,0,1627.2177073002,-792.6088536501,515.396995122173
"88",8,1,0.0739043772915328,0,1660.43746209578,-819.218731047892,519.621676736767
"89",8,2,0.0739043061231312,6,1662.43055325107,-819.215276625536,519.621176351735
"90",8,3,0.0732145668675069,3,1602.10716951658,-788.053584758288,514.771619645442
"91",8,4,0.07337705562676,0,1623.07373678838,-797.536868394192,515.91407811175
"92",8,5,0.0732329209556303,0,1610.42261270032,-790.211306350161,514.900667239036
"93",8,6,0.072540342913844,3,1548.28540830618,-758.142704153092,510.031151027236
"94",8,7,0.073022210698101,12,1598.36511850669,-782.182559253343,513.419163418348
"95",8,8,0.0724432239032838,0,1547.47250698272,-755.736253491362,509.348307263987
"96",8,9,0.0727013030212086,0,1572.94718740998,-767.473593704991,511.162861542121
"97",8,10,0.0726587993533772,7,1567.46145204498,-763.730726022492,510.864018253593
"98",8,11,0.0730924840250723,0,1607.39683131916,-782.69841565958,513.913255180283
"99",8,12,0.0732992226667019,16,1628.26528517456,-792.132642587282,515.366834569583
"100",9,1,0.0738948957119068,0,1661.53741394062,-818.768706970312,519.555011750419
"101",9,2,0.0739041809818416,7,1664.41866407315,-819.209332036576,519.62029648333
"102",9,3,0.0733543278809965,2,1616.62607165454,-794.313035827271,515.754279331287
"103",9,4,0.0733574856617928,2,1618.78190839057,-794.390954195286,515.776481688068
"104",9,5,0.0733694924891359,0,1621.41548585811,-794.707742929056,515.860901691116
"105",9,6,0.0733464778806047,1,1622.65488589623,-794.327442948113,515.699085978532
"106",9,7,0.073281285418056,5,1618.95956525152,-791.479782625761,515.240717774353
"107",9,8,0.0731325701571437,4,1608.27556416864,-785.13778208432,514.195100774875
"108",9,9,0.0728179640236109,11,1587.287465871,-773.643732935502,511.983105050011
"109",9,10,0.072727278919868,5,1571.55583003256,-764.777915016278,511.345498085592
"110",9,11,0.073072050375651,10,1606.91751451933,-781.458757259666,513.769586191201
"111",9,12,0.0730086024891523,7,1606.2808702352,-780.140435117598,513.323484101229
"112",10,1,0.0738650919639425,0,1660.7023082461,-817.351154123052,519.34546159848
"113",10,2,0.0738943289767331,6,1665.48399140781,-818.741995703903,519.55102703541
"114",10,3,0.0732079817573241,6,1605.1206837005,-787.56034185025,514.725319735744
"115",10,4,0.0733507244258971,4,1620.62361002329,-794.311805011644,515.728943438482
"116",10,5,0.0733335565468331,0,1622.43815499974,-794.21907749987,515.608236080784
"117",10,6,0.0736243546376548,8,1648.67447497548,-806.337237487741,517.652837457353
"118",10,7,0.0730637581032276,10,1600.59791656133,-781.298958280667,513.711283223794
"119",10,8,0.0728195795955585,0,1578.81708210962,-769.408541054811,511.994464136374
"120",10,9,0.071813838216154,0,1500.19283176036,-729.096415880179,504.92309649778
"121",10,10,0.072462663896641,17,1558.26879521654,-757.134397608269,509.484989857283
"122",10,11,0.0727791703038687,0,1583.61877167614,-768.809385838072,511.710346406499
"123",10,12,0.072593313447027,1,1571.67887702112,-761.839438510561,510.403586846047
"124",11,1,0.0737876871327604,0,1655.33570582515,-813.667852912577,518.801228230438
"125",11,2,0.0737408330674494,0,1652.87810260029,-811.439051300144,518.471797297236
"126",11,3,0.0733461012924073,2,1620.65122121647,-794.325610608234,515.696438186914
"127",11,4,0.0733453579468229,4,1622.07717600632,-794.03858800316,515.691211724113
"128",11,5,0.0733298194633694,7,1623.05335375392,-793.526676876961,515.58196064695
"129",11,6,0.0733208578185769,0,1623.91926734254,-792.95963367127,515.518951322409
"130",11,7,0.0732835973249789,16,1623.61941060647,-791.809705303235,515.256972791929
"131",11,8,0.0729151160089241,0,1594.73437479897,-776.367187399485,512.666180658744
"132",11,9,0.0729802385708684,1,1600.10597680983,-778.052988404917,513.124057391775
"133",11,10,0.0729413268023915,7,1598.34543298844,-776.172716494219,512.850468747616
"134",11,11,0.0727205397019289,6,1579.05344944468,-765.526724722339,511.298114644262
"135",11,12,0.0722133513973561,0,1536.51163127332,-743.25581563666,507.73207367481
"136",12,1,0.0737227551427264,0,1651.16111759385,-810.580558796923,518.344691408509
"137",12,2,0.0737192068561059,0,1652.82286128146,-810.411430640729,518.319743405284
"138",12,3,0.073628968391764,0,1646.232076942,-806.116038470999,517.685276762492
"139",12,4,0.0733330321496975,2,1623.65809130974,-793.829045654868,515.604549044525
"140",12,5,0.0733308073821378,9,1624.5746402904,-793.287320145201,515.588906703809
"141",12,6,0.0733306663059597,8,1629.54090346912,-794.77045173456,515.587914797202
"142",12,7,0.0733439818645725,0,1629.39939016684,-793.699695083421,515.68153648981
"143",12,8,0.0732976142319394,10,1628.03673251641,-792.018366258207,515.355525664765
"144",12,9,0.0731368374908156,1,1615.45695681572,-784.728478407861,514.225104397923
"145",12,10,0.0727962060481473,7,1589.28274502683,-770.641372513414,511.830124724525
"146",12,11,0.0727001909329544,0,1583.66000723112,-766.830003615559,511.155042449602
"147",12,12,0.072170428969978,3,1535.12463953119,-741.562319765594,507.430286087915
